Images,Method_name,Category,Compartment,Fisrt_name,Last_name,Affiliation,Institute_Acronym,Country,Citation,Project,Eq_name,Analysis_date,Categorised_result,Polymer_type_of_particle_original,Eq_specification,Color,Color_original,Shape,Morphology_original,Size_fraction,Size_range_from_μm,Size_range_to_μm,Size_dimension
1sZbEWgdFYNcZLHFWOvzLTMm5bE00noa5,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Fragment,Fragment,1-20 um,1,20,Nominal
1sDGc3BL3rRbXnLxDa-JenUA7fVYUG8HC,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Fragment,Fragment,1-20 um,1,20,Nominal
1saLHtWL8UoGitvJO9q20ZxpyH61GPI31,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Grey,Grey,Fiber,Fiber,1-20 um,1,20,Nominal
1sPehDw20i9O6DosR0ASknmTiSt8MV285,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Film,Film,1-20 um,1,20,Nominal
1rZgpSVXt5UwXaVaHJYQnCS-zz_QZB8Qa,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Blue,Blue,Fiber,Fiber,1-20 um,1,20,Nominal
1NHE2VsXYxr0xczuOUIgpOVTfyrHZ-Tsa,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Fragment,Fragment,20-212 um,20,212,Nominal
1rCEJG7j6lmte0xfEdKNgoXyNTXoZ5RXg,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Fragment,Fragment,1-20 um,1,20,Nominal
1s46Y2mZi2_Ke2bUSSjEwLNVQIPuAOHqS,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Fiber,Fiber,1-20 um,1,20,Nominal
1NFmfo2nUznuG4n10GsD-gH3IC0DnAecB,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Film,Film,20-212 um,20,212,Nominal
1su2dZHGNDp9IQREA2_QLlMWvo70NEM8C,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Black,Black,Fragment,Fragment,1-20 um,1,20,Nominal
1s1L3DbqMQpxzDQIQHAogf01jjjloFSYN,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Fiber,Fiber,1-20 um,1,20,Nominal
1pKk-BkEwRYMQIfLB2Yq5PMOe08oML44Z,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Fragment,Fragment,1-20 um,1,20,Nominal
1qLL8vbUL-RD5dHSPpFudDG9sDgrRkWzr,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Fragment,Fragment,1-20 um,1,20,Nominal
1qMaurOguA0lDmUUbUcW23z9sw_lfLy1q,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Fiber,Fiber,1-20 um,1,20,Nominal
1p2Mxxe7dIKriSVenx8gS4snfOcVtTreL,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Green,Green,Fiber,Fiber,1-20 um,1,20,Nominal
1q725pLTZ9QYtY2JF5QJ4xKfCfBQud15E,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Fiber,Fiber,1-20 um,1,20,Nominal
1qog1GzKPlmSK-uxV763GeHbvM0Cgt-K2,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Blue,Blue,Fiber,Fiber,1-20 um,1,20,Nominal
1quwUbpYdq-VMhZ-AfZSrS6JMpuRj7mqM,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Fragment,Fragment,1-20 um,1,20,Nominal
1p5KkFzmp3r65C35LtI0Cm21R4K_35KF7,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Fiber,Fiber,1-20 um,1,20,Nominal
1r62ULZWTuNdne51uXOIoXTOIm_hhbI9-,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Fiber,Fiber,1-20 um,1,20,Nominal
1p62tOZuQezzzrntTJfYOjt3Fgv---uAi,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Fragment,Fragment,1-20 um,1,20,Nominal
1qVYECLUOfq0zPkLmDVLha5XmgcgBiP-K,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Fragment,Fragment,1-20 um,1,20,Nominal
1orRgPmxfFzTuKcABuOCUKeU9hCUnhoH1,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Fiber,Fiber,1-20 um,1,20,Nominal
1qtPU0zgK9hdgolqSzUsXekU6-G-VQMrO,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Fragment,Fragment,1-20 um,1,20,Nominal
1r439HHq_VfwiX36xHj65biYw1W6NJdWR,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Fragment,Fragment,1-20 um,1,20,Nominal
1q6v72AH7lbrR68gcfIlyr0gpXxdyg6oD,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Blue,Blue,Fiber,Fiber,1-20 um,1,20,Nominal
1oyqn6tlO1GZ54RGLSZREtobL7hSCB6sm,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Fiber,Fiber,1-20 um,1,20,Nominal
1qMmAtl3CPuyMJZvDAPZfCfTg-yk1NoGC,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,White,White,Fragment,Fragment,1-20 um,1,20,Nominal
1qpWCEoGky2I42KehuszNEh1yhP-Rd24v,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Blue,Blue,Fiber,Fiber,1-20 um,1,20,Nominal
1p8RYkLnfxYhLfYnOoSh62hBMBX1l4s4j,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Blue,Blue,Fiber,Fiber,1-20 um,1,20,Nominal
1qMcbMNKM1DZoa4Wqt3BAP3GCjBTmept1,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Blue,Blue,Fiber,Fiber,1-20 um,1,20,Nominal
1pIVYIeU6JDOss8V28b6JTWxPAC0Xi_yP,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Blue,Blue,Fiber,Fiber,1-20 um,1,20,Nominal
1zzXQuTBypyc_pGkb46BBRFH2MP-qhtvw,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Fiber,Fiber,20-212 um,20,212,Nominal
1-tVXnrUSPiTEpJ3E4IybVSmKJCeJj1zp,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Purple,Purple,Fiber,Fiber,20-212 um,20,212,Nominal
1-bRJb4Ml6JYtAj-9f_dF5U6VYl3F_BMS,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Fiber,Fiber,20-212 um,20,212,Nominal
1zpWT_ZfJNenz_XCN5gZNNhGgQetNLW9J,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Blue,Blue,Fiber,Fiber,20-212 um,20,212,Nominal
17zjEUaHGrkFbsQEAL9GI3mCBx1iq86QS,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,White,White,Fiber,Fiber,20-212 um,20,212,Nominal
1zn7jxvej18PIRWpALN8b5UF4A49XutdI,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Fiber,Fiber,20-212 um,20,212,Nominal
1zuQr9Nda7owU5sVB20yfnMgdCMybCwtm,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Fiber,Fiber,20-212 um,20,212,Nominal
1-pvGKVHgwzSpaMKXn_6QX51w_F9Kt9jk,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,White,White,Fragment,Fragment,20-212 um,20,212,Nominal
103mu8XiV2o5ZhHItVmFSbgtLPEqd2rhX,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,White,White,Sphere,Sphere,20-212 um,20,212,Nominal
1-SIiJDqfuFyFbgZRWXkOpngK_oS6KKnP,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Blue,Blue,Fiber,Fiber,20-212 um,20,212,Nominal
1zknJIxbw0ShqwTCedOe4qusMqOXNHFts,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Fiber,Fiber,20-212 um,20,212,Nominal
